Age,GoodStudent,SocioEcon,RiskAversion,Accident,DrivQuality
Adult,False,Prole,Adventurous,Mild,Poor
Senior,False,Prole,Cautious,None,Normal
Senior,False,UpperMiddle,Psychopath,None,Excellent
Adolescent,False,Middle,Normal,None,Normal
Adolescent,False,Prole,Normal,Moderate,Poor
Adult,False,UpperMiddle,Normal,Moderate,Poor
Senior,False,UpperMiddle,Normal,Mild,Poor
Adult,False,Prole,Normal,Severe,Poor
Adult,False,Prole,Normal,Severe,Poor
Adolescent,True,Prole,Cautious,Severe,Poor
Adult,False,Prole,Adventurous,None,Excellent
Adult,False,Prole,Normal,Moderate,Poor
Adult,False,Prole,Normal,None,Normal
Adult,False,UpperMiddle,Normal,None,Normal
Adult,False,Middle,Normal,Mild,Poor
Adult,False,Middle,Cautious,None,Normal
Adult,False,Prole,Normal,Moderate,Poor
Adult,False,Prole,Normal,None,Normal
Adult,False,Prole,Psychopath,None,Normal
Adolescent,True,UpperMiddle,Normal,None,Normal
Senior,False,UpperMiddle,Normal,None,Normal
Adolescent,True,UpperMiddle,Adventurous,Mild,Poor
Adult,False,Middle,Normal,None,Excellent
Senior,False,Prole,Normal,Mild,Poor
Senior,False,Prole,Adventurous,None,Excellent
Senior,False,Prole,Cautious,None,Excellent
Adult,False,Prole,Normal,None,Normal
Adult,False,Middle,Normal,Mild,Normal
Adolescent,False,Middle,Cautious,None,Normal
Adolescent,False,Prole,Psychopath,None,Excellent
Senior,False,Middle,Normal,None,Normal
Adult,False,Prole,Normal,None,Normal
Adult,False,Middle,Adventurous,Severe,Poor
Adult,False,Prole,Cautious,Severe,Poor
Adult,False,Middle,Normal,None,Normal
Senior,False,UpperMiddle,Cautious,None,Excellent
Adult,False,Prole,Cautious,None,Normal
Adult,False,Prole,Adventurous,Moderate,Poor
Senior,False,UpperMiddle,Cautious,None,Excellent
Adult,False,Middle,Normal,None,Normal
Adolescent,False,Middle,Normal,None,Normal
Senior,False,UpperMiddle,Normal,Severe,Poor
Adult,False,Middle,Normal,None,Normal
Adult,False,Middle,Normal,None,Poor
Adult,False,Middle,Adventurous,None,Excellent
Adult,False,Prole,Adventurous,Severe,Poor
Adult,False,UpperMiddle,Adventurous,Mild,Poor
Adult,False,UpperMiddle,Cautious,None,Normal
Adolescent,False,UpperMiddle,Adventurous,Mild,Poor
Adolescent,False,UpperMiddle,Normal,None,Normal
Adult,False,Prole,Normal,None,Normal
Senior,False,Prole,Normal,None,Poor
Adolescent,False,Middle,Normal,Severe,Poor
Senior,False,Prole,Normal,None,Normal
Adult,False,Middle,Cautious,None,Poor
Adult,False,Prole,Adventurous,Severe,Poor
Adult,False,Prole,Normal,Mild,Normal
Adult,False,Wealthy,Normal,None,Normal
